timestamp,eye_rub_first_hand_report,eye_rub_first_hand_count,eye_rub_first_hand_durations,|,eye_rub_second_hand_report,eye_rub_second_hand_count,eye_rub_second_hand_durations,|,flicker_report,flicker_count,|,micro_sleep_report,micro_sleep_count,micro_sleep_durations,|,pitch_report,pitch_count,pitch_durations,|,yawn_report,yawn_count,yawn_durations
2024-08-20 17:57:18,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 3.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 163.0 seconds remaining.,[]
2024-08-20 17:57:23,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 3.0 seconds', '2 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 158.0 seconds remaining.,[]
2024-08-20 17:57:29,False,0,[],|,False,0,[],|,False,Counting flickers... 32.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 4.0 seconds'],|,False,Counting yawns... 152.0 seconds remaining.,[]
2024-08-20 17:57:35,False,0,[],|,False,0,[],|,False,0,|,True,3,"['1 micro sleep: 3.0 seconds', '2 micro sleep: 3.0 seconds', '3 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 146.0 seconds remaining.,[]
2024-08-20 17:57:35,False,0,[],|,False,0,[],|,False,Counting flickers... 26.0 seconds remaining.,|,False,0,[],|,True,2,"['1 pitch: 4.0 seconds', '2 pitch: 4.0 seconds']",|,False,Counting yawns... 146.0 seconds remaining.,[]
2024-08-20 17:58:01,False,0,[],|,False,0,[],|,True,10,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-08-20 17:59:22,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 2.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 156.0 seconds remaining.,[]
2024-08-20 17:59:30,False,0,[],|,False,0,[],|,False,Counting flickers... 28.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 4.0 seconds'],|,False,Counting yawns... 148.0 seconds remaining.,[]
2024-08-20 17:59:36,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 2.0 seconds', '2 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 142.0 seconds remaining.,[]
2024-08-20 17:59:36,False,0,[],|,False,0,[],|,False,Counting flickers... 22.0 seconds remaining.,|,False,0,[],|,True,2,"['1 pitch: 4.0 seconds', '2 pitch: 3.0 seconds']",|,False,Counting yawns... 142.0 seconds remaining.,[]
2024-08-20 17:59:58,False,0,[],|,False,0,[],|,True,18,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-08-20 18:00:21,False,0,[],|,False,0,[],|,False,0,|,True,3,"['1 micro sleep: 2.0 seconds', '2 micro sleep: 3.0 seconds', '3 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 97.0 seconds remaining.,[]
2024-08-20 18:00:43,False,0,[],|,False,0,[],|,False,0,|,True,4,"['1 micro sleep: 2.0 seconds', '2 micro sleep: 3.0 seconds', '3 micro sleep: 2.0 seconds', '4 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 75.0 seconds remaining.,[]
2024-08-20 18:00:57,False,0,[],|,False,0,[],|,True,64,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 61.0 seconds remaining.,[]
2024-08-20 18:06:45,False,0,[],|,False,0,[],|,True,28,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-08-20 18:06:49,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 6.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 117.0 seconds remaining.,[]
2024-08-20 18:06:53,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 6.0 seconds', '2 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 112.0 seconds remaining.,[]
2024-08-20 18:07:01,False,0,[],|,False,0,[],|,False,0,|,True,3,"['1 micro sleep: 6.0 seconds', '2 micro sleep: 3.0 seconds', '3 micro sleep: 7.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 104.0 seconds remaining.,[]
2024-08-20 18:07:01,False,0,[],|,False,0,[],|,False,Counting flickers... 43.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 11.0 seconds'],|,False,Counting yawns... 104.0 seconds remaining.,[]
